turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
01,2022.1,AYLANA LAISSA MEDEIROS BORGES (30h),2M34,0,40,CET - Módulo C,CET0002,314
01,2022.1,MARIANA TOMAZIN (60h),3M1234,0,40,CET - Módulo D (Sala de aula),CET0005,314
01,2022.1,JEFFERSON LORENCINI GAZONI (30h),2T23,0,40,CET - Módulo B sala 2,CET0006,314
01,2022.1,MARUTSCHKA MARTINI MOESCH (30h),3T6  3N1,0,40,CET - Módulo E,CET0007,314
01,2022.1,ALESSANDRA SANTOS DOS SANTOS (30h),5T2345,0,37,CET - Módulo D (sala de aula),CET0012,314
01,2022.1,CAROLINA MENEZES PALHARES (30h),5T2345,0,37,CET - Módulo D (sala de aula),CET0012,314
01,2022.1,MARUTSCHKA MARTINI MOESCH (60h),3M1234,0,42,CET - Módulo E,CET0013,314
01,2022.1,FAGNO TAVARES DE OLIVEIRA (60h),4T2345,0,40,CET - Módulo D (sala de aula),CET0014,314
01,2022.1,MARIANA TOMAZIN (30h),5M34,0,31,CET - Módulo C,CET0015,314
01,2022.1,JOAO PAULO FARIA TASSO (60h),3T2345,0,40,CET - Módulo D (sala de aula),CET0022,314
01,2022.1,AYLANA LAISSA MEDEIROS BORGES (30h),2T45,0,31,CET - Módulo B sala 2,CET0032,314
01,2022.1,NEUZA DE FARIAS ARAUJO (30h),6M34,0,40,CET - Módulo C,CET0036,314
01,2022.1,NEUZA DE FARIAS ARAUJO (30h),6M12,0,40,CET - Módulo C,CET0037,314
01,2022.1,THIAGO SEBASTIANO DE MELO (60h),4M1234,0,45,CET - Módulo D (sala de aula),CET0038,314
01,2022.1,JOAO PAULO FARIA TASSO (60h),5T2345,0,40,CET - Módulo E,CET0039,314
01,2022.1,FAGNO TAVARES DE OLIVEIRA (60h),6M1234,0,40,CET - Módulo D (sala de aula),CET0040,314
01,2022.1,ANGELA TEBERGA DE PAULA (60h),2T2345,0,45,CET - Módulo D (sala de aula),CET0041,314
01,2022.1,LANA MAGALY PIRES (60h),2T2345,0,45,CET - Módulo D (sala de aula),CET0041,314
01,2022.1,NEUZA DE FARIAS ARAUJO (60h),5T2345,0,40,CET - Módulo B sala 2,CET0042,314
01,2022.1,MARIANA TOMAZIN (60h),2T2345,0,40,CET - Módulo E,CET0043,314
01,2022.1,ANA ROSA DOMINGUES DOS SANTOS (60h),2M1234,0,45,CET - Módulo E,CET0044,314
01,2022.1,LUIZ CARLOS SPILLER PENA (60h),4T2345,0,40,CET - Módulo E,CET0045,314
01,2022.1,EUZAMARA DE CARVALHO (15h),2M34,0,30,CET - Módulo D (sala de aula),CET0046,314
01,2022.1,THIAGO SEBASTIANO DE MELO (15h),2M34,0,30,CET - Módulo D (sala de aula),CET0046,314
01,2022.1,ANGELA TEBERGA DE PAULA (60h),3T2345,0,40,CET - Módulo E,CET0050,314
01,2022.1,THIAGO SEBASTIANO DE MELO (30h),2M12,0,40,CET - Módulo D (sala de aula),CET0051,314
01,2022.1,ANGELA TEBERGA DE PAULA (30h),4M34,0,40,CET - Módulo E,CET0052,314
01,2022.1,AYLANA LAISSA MEDEIROS BORGES (60h),4M1234,0,40,CET - Módulo C,CET0053,314
01,2022.1,ANA ROSA DOMINGUES DOS SANTOS (60h),5M1234,0,40,CET - Módulo D (Lab. Eventos e Gastronomia),CET0054,314
01,2022.1,THIAGO SEBASTIANO DE MELO (30h),3M12,0,40,CET - Módulo D (Lab. Eventos e Gastronomia),CET0055,314
01,2022.1,LUIZ FERNANDO MACEDO BESSA (5h),5N1234 6N12 (20/01/2022 - 18/03/2022),0,30,Local à definir.,CEM0005,650
01,2022.1,JOÃO LUIZ HOMEM DE CARVALHO (30h),3N12,0,40,BSA N AT 60/41,CEM0005,650
01,2022.1,MARIO LIMA BRASIL (5h),7M1234  4N12 (22/01/2022 - 26/03/2022),0,30,Local à definir.,CEM0007,650
01,2022.1,HILTON PEREIRA DA SILVA (60h),3T2345,0,30,AUDITÓRIO BSA N A1 22/4,CEM0007,650
01,2022.1,CELIA KINUKO MATSUNAGA HIGAWA (15h),7M1234  4N12 (22/01/2022 - 26/03/2022),0,30,Local à definir.,CEM0007,650
01,2022.1,MARISA COBBE MAASS (15h),7M1234  4N12 (22/01/2022 - 26/03/2022),0,30,Local à definir.,CEM0007,650
01,2022.1,MANOEL PEREIRA DE ANDRADE (5h),"7M234  46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234  46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30,a designar,CEM0008,650
01,2022.1,FELÍCIO DE ARAÚJO PONTES JUNIOR (5h),"7M234  46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234  46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30,a designar,CEM0008,650
01,2022.1,ELA WIECKO VOLKMER DE CASTILHO (15h),"7M234  46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234  46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30,a designar,CEM0008,650
01,2022.1,GILNEY AMORIM VIANA (5h),"7M234  46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234  46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30,a designar,CEM0008,650
01,2022.1,GUILLERMO JOSE ASPER Y VALDES (30h),4M12,0,15,BSAS BT 11/10,CEM0009,650
01,2022.1,MURILO SILVA DE CAMARGO (60h),2N1234,0,100,ICC BT 620,CEM0015,650
02,2022.1,MURILO SILVA DE CAMARGO (60h),4N1234,0,100,ICC BT 620,CEM0015,650
01,2022.1,NADIR HILGER (30h),3T45,0,10,SG 10 - Núcleo de dança - Sala B,CEM0018,650
03,2022.1,VIVIANE DE MELO RESENDE (30h),3N12,0,10,SG 10 - Núcleo de dança - Sala B,CEM0018,650
04,2022.1,VIVIANE DE MELO RESENDE (30h),5N12,0,10,SG 10 - Núcleo de dança - Sala B,CEM0018,650
06,2022.1,NADIR HILGER (30h),2N12,0,10,SG 10 - Núcleo de dança - Sala B,CEM0018,650
08,2022.1,NADIR HILGER (30h),3T23,0,10,SG 10 - Núcleo de dança - Sala B,CEM0018,650
01,2022.1,SILVIA BADIM MARQUES (60h),4N1234,0,40,ICC BT 504,CEM0021,650
01,2022.1,LUCAS BRITO DE LIMA (60h),4N1234,0,40,ICC BT 504,CEM0021,650
01,2022.1,Tony Gigliotti Bezerra (60h),4N1234,0,40,ICC BT 504,CEM0021,650
01,2022.1,PATRICIA CRISTINA DA SILVA PINHEIRO (0h),,154,,,CEM0030,650
01,2022.1,CELI NELZA ZULKE TAFFAREL (0h),,154,,,CEM0030,650
01,2022.1,ADALBERTO DE SALLES LIMA (60h),5N1234,0,20,BSA N A1 07/19,CEM0043,650
01,2022.1,ENAILE DO ESPIRITO SANTO IADANZA (60h),6M1234,0,40,PJC BT 132,CEM0047,650
01,2022.1,MAGNO ANTONIO MATAMOROS BURGOS (60h),6M1234,0,40,PJC BT 132,CEM0047,650
01,2022.1,HILTON PEREIRA DA SILVA (60h),6M1234,0,40,PJC BT 132,CEM0047,650
01,2022.1,MANOEL PEREIRA DE ANDRADE (60h),6M1234,0,40,PJC BT 132,CEM0047,650
01,2022.1,TAYANE MEDEIROS DE OLIVEIRA (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,CASSIO MURILO ALVES COSTA (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,JONATAS DE FRANCA BARROS (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,RAUL LUÍS DE MELO DUSI (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,ISAIAS NERY FERREIRA (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,JACKELINE NERES BELLUCCI (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,ANDRE RIBEIRO DA SILVA (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,FELIPE SILVA BELLUCCI (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,JITONE LEONIDAS SOARES (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,ANDREA DE OLIVEIRA GONCALVES (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,ALESSANDRA LISBOA DA SILVA (60h),7M1234,0,600,ICC ANF. 14,CEM0051,650
01,2022.1,FERNANDO PAIVA SCARDUA (60h),35T45,0,20,PAT AT 020,CEM0054,650
01,2022.1,ASSIS DA COSTA OLIVEIRA (60h),5N1234,0,30,ICC ANF. 3,CEM0058,650
01,2022.1,MARCIA GUEDES VIEIRA (60h),5N1234,0,30,ICC ANF. 3,CEM0058,650
01,2022.1,ROMULO GUILHERME FERREIRA DA SILVA (20h),6M1234,0,60,ICC BT 143,CEM0067,650
01,2022.1,RAFAELA ROCHA FEIJÓ (20h),6M1234,0,60,ICC BT 143,CEM0067,650
01,2022.1,PAULO RAMOS COELHO FILHO (20h),6M1234,0,60,ICC BT 143,CEM0067,650
01,2022.1,VANNESSA ALVES CARNEIRO (60h),5N1234,0,50,PAT AT 133,CEM0097,650
01,2022.1,JOÃO LUIZ HOMEM DE CARVALHO (60h),2M1234,0,40,ICC AT 118/7,CEM0110,650
01,2022.1,MANOEL PEREIRA DE ANDRADE (60h),2M1234,0,40,ICC AT 118/7,CEM0110,650
01,2022.1,RENATA MELO BARBOSA DO NASCIMENTO (60h),5N1234 (06/06/2022 - 24/09/2022),0,45,PJC BT 148,CEM0125,650
01,2022.1,TATIANE DOS SANTOS DUARTE (30h),6M12 (06/06/2022 - 24/09/2022),0,30,ICC AT 163/8,CEM0126,650
01,2022.1,MARIA CARMEN AIRES GOMES (60h),24T45,0,40,PJC BT 092,CEM0129,650
01,2022.1,MARJORIE NOGUEIRA CHAVES (60h),35T45 (06/06/2022 - 24/09/2022),0,40,ICC ANF 02,CEM0131,650
01,2022.1,CLARICE APARECIDA DOS SANTOS (15h),6N1 (06/06/2022 - 24/09/2022),0,50,PJC BT 005 (50),CEM0132,650
01,2022.1,LUIS ANTONIO PASQUETTI (15h),6N1 (06/06/2022 - 24/09/2022),0,50,PJC BT 005 (50),CEM0132,650
01,2022.1,HERIVELTO PEREIRA DE SOUZA (30h),6T45,0,40,PJC BT 020,CEM0239,650
01,2022.1,MONIQUE TERESINHA PYRRHO DE SOUZA SILVA (60h),4M1234 (06/06/2022 - 24/09/2022),0,20,ICC ANF. 2,CBH0002,1448
01,2022.1,MARIA FERNANDA NINCE FERREIRA (60h),7M1234 (06/06/2022 - 24/09/2022),0,10,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,677
04,2022.1,MARIA FERNANDA NINCE FERREIRA (30h),7T1234 (06/06/2022 - 24/09/2022),0,10,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,677
04,2022.1,MARIA JULIA MARTINS SILVA (30h),7T1234 (06/06/2022 - 24/09/2022),0,10,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,677
01,2022.1,LUCAS ALVES DE BRITO OLIVEIRA (60h),7M12  6N34 (17/01/2022 - 05/05/2022),0,3,Local à definir.,DEG0229,130
02,2022.1,BARBARA EVELLINE DA SILVA BANDEIRA (60h),6N1234 (17/01/2022 - 05/05/2022),0,3,Local à definir.,DEG0229,130
03,2022.1,ALEXANDRE BERNARDINO COSTA (30h),25N12 (17/01/2022 - 05/05/2022),2,15,Local à definir.,DEG0229,130
03,2022.1,PERCI COELHO DE SOUZA (30h),25N12 (17/01/2022 - 05/05/2022),2,15,Local à definir.,DEG0229,130
01,2022.1,PEDRO HENRIQUE DE OLIVEIRA NETO (90h),235M34,0,2,Mesma sala que a disciplina 311065.,DPG0022,170
01,2022.1,NILSON FRANCISQUINI BOTELHO (60h),4M1234,0,1,A definir,DPG0229,170
01,2022.1,REGINA DALCASTAGNE (60h),5M1234,0,1,a definir,DPG0308,170
01,2022.1,JOSE ALFREDO RUIZ VARGAS (60h),24T6  24N1,0,1,A definir,DPG0421,170
01,2022.1,ASDRUBAL BORGES FORMIGA SOBRINHO (30h),6T45,0,1,A definir,DPG0568,170
01,2022.1,GARDENIA DA SILVA ABBAD (60h),2T6  2N123,0,1,A definir,DPG0660,170
01,2022.1,THAIS CARVALHO VALADARES RODRIGUES (60h),24T45,0,1,Mesma sala que a disciplina 315648.,DPG0675,170
01,2022.1,FABIO COMES DE CASTRO (60h),35T45,0,1,a definir,DPG0849,170
01,2022.1,MARINA MARIA SILVA MAGALHAES (45h),3M234,0,1,A definir,DPG0928,170
01,2022.1,JAKE CARVALHO DO CARMO (60h),4M1234,0,1,A definir,DPG0942,170
01,2022.1,SILVIA CLAUDIA LOUREIRO DIAS (60h),2M1234,0,1,A definir,DPG1040,170
01,2022.1,THEO ALLAN DARN ZAPATA (75h),24T45 6T4,0,1,A definir,DPG1046,170
01,2022.1,RAIMUNDO DE ARAUJO BASTOS JUNIOR (75h),5M345 6M34,0,1,A definir,DPG1165,170
02,2022.1,CLAUDIA MARCIA LYRA PATO (60h),2T2345,0,1,A definir,DPG1229,170
01,2022.1,JORLANDIO FRANCISCO FELIX (60h),24T23,0,1,Mesma sala que a disciplina 317799.,DPG1230,170
01,2022.1,PEDRO HENRIQUE ANTUNES DA COSTA (60h),2T2345,0,1,A definir,DPG1231,170
01,2022.1,CARLA TATIANA MOTA ANFLOR (60h),24M34,0,2,Turma espelho de pós-graduação: 395668.,DPG1232,170
01,2022.1,THIAGO COSTA CHACON (45h),4M234,0,1,A definir,DPG1233,170
01,2022.1,EUGENIO LIBORIO FEITOSA FORTALEZA (60h),6M1234,0,1,A definir,DPG1237,170
01,2022.1,CARLOS VINICIUS DA SILVA MENDES (30h),4N1234,0,40,ICC AT 097/8,DEX1102,158
01,2022.1,Danielle Soares Gomes (30h),4N1234,0,40,ICC AT 097/8,DEX1102,158
01,2022.1,ALEXANDRE SIMOES PILATI (60h),6M1234,0,20,"Memorial Darcy Ribeiro, sala 05 (cinco)",DEX1104,158
02,2022.1,ENAILE DO ESPIRITO SANTO IADANZA (60h),5T2345,0,19,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
02,2022.1,RICARDO TEZINI MINOTI (60h),5T2345,0,19,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
02,2022.1,EVELYN JENIFFER DE LIMA TOLEDO (60h),5T2345,0,19,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
02,2022.1,MANOEL PEREIRA DE ANDRADE (60h),5T2345,0,19,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
01,2022.1,PABLO GONCALO PIRES DE CAMPOS MARTINS (60h),5M1234,0,33,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",DAP0008,351
01,2022.1,ISABELA LARA OLIVEIRA (60h),4T2345,0,35,"FAC -ICC Norte,bloco A,Mezanino- Sl12 Lab. Mult.I",DAP0011,351
01,2022.1,PABLO GONCALO PIRES DE CAMPOS MARTINS (60h),6M1234,0,39,"FAC - ICC Norte, Bloco A, Térreo - Sala 05",DAP0021,351
01,2022.1,EDMUNDO BRANDAO DANTAS (30h),2M34,0,31,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0030,351
01,2022.1,CAMILA DUTERVIL MOLITERNO FRANCO (30h),6M1234,0,31,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0042,351
01,2022.1,RAQUEL PACHECO MELLO CUNHA (30h),6M1234,0,31,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0042,351
01,2022.1,EDMUNDO BRANDAO DANTAS (30h),6M12,0,35,Local à definir.,DAP0044,351
01,2022.1,EMILIA SILVEIRA SILBERSTEIN (30h),6M12,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0055,351
01,2022.1,SUELEN BRANDES MARQUES VALENTE (60h),2M1234,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0060,351
01,2022.1,JOAO BATISTA LANARI BO (60h),5M1234,0,40,"FAC -ICC Norte, bloco A, Mezanino - Sala 12",DAP0067,351
01,2022.1,EMILIA SILVEIRA SILBERSTEIN (30h),5M12,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0076,351
01,2022.1,EDUARDO BENTES MONTEIRO (60h),35T23,0,21,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0079,351
02,2022.1,EDUARDO BENTES MONTEIRO (60h),35M34,0,31,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0079,351
01,2022.1,WLADIMIR GANZELEVITCH GRAMACHO (60h),6M1234,0,40,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",DAP0084,351
02,2022.1,WLADIMIR GANZELEVITCH GRAMACHO (60h),5M1234,0,40,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",DAP0084,351
01,2022.1,DENISE MORAES CAVALCANTE (15h),4M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",DAP0093,351
01,2022.1,CAMILA DUTERVIL MOLITERNO FRANCO (15h),4M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",DAP0093,351
01,2022.1,ARMANDO BULCAO (30h),4M12,0,38,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0096,351
02,2022.1,ARMANDO BULCAO (30h),4M34,0,20,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0096,351
03,2022.1,ARMANDO BULCAO (30h),2T23,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0096,351
04,2022.1,CARLOS HENRIQUE NOVIS (30h),4N12,0,25,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0096,351
05,2022.1,CARLOS HENRIQUE NOVIS (30h),2T45,0,31,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0096,351
01,2022.1,RENATA ALVES DE ALBUQUERQUE OTHON (30h),5T23,0,35,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0098,351
02,2022.1,RENATA ALVES DE ALBUQUERQUE OTHON (30h),2T23,0,36,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0098,351
01,2022.1,EMILIA SILVEIRA SILBERSTEIN (60h),2T2345,0,20,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",DAP0100,351
01,2022.1,ISABELA LARA OLIVEIRA (60h),3T2345,0,22,"FAC -ICC Norte, Mezanino, Térreo - Lab. Jornalismo",DAP0101,351
02,2022.1,LUCIANO MENDES DE SOUZA (15h),5T2345,0,23,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",DAP0101,351
02,2022.1,PRISCILA MONTEIRO BORGES (15h),5T2345,0,23,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",DAP0101,351
02,2022.1,RAFAEL DIETZSCH (30h),5T2345,0,23,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",DAP0101,351
01,2022.1,JOAO BATISTA LANARI BO (60h),3M1234,0,34,"FAC -ICC Norte, bloco A, Mezanino - Sala 12",DAP0103,351
01,2022.1,MARIANA SOUTO DE MELO SILVA (60h),4M1234,0,40,"FAC - ICC Norte, Bloco A, Térreo - Sala 13",DAP0104,351
01,2022.1,MAURO GIUNTINI VIANA (30h),3M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0105,351
01,2022.1,DENISE MORAES CAVALCANTE (14h),2M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0107,351
01,2022.1,CAMILA DUTERVIL MOLITERNO FRANCO (16h),2M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0107,351
01,2022.1,SERGIO RIBEIRO DE AGUIAR SANTOS (30h),2M12,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0108,351
01,2022.1,MAURICIO GOMES DA SILVA FONTELES (60h),4M1234,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0110,351
01,2022.1,MAURICIO GOMES DA SILVA FONTELES (30h),5M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0111,351
01,2022.1,ROSE MAY CARNEIRO (30h),3T2345,0,22,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0115,351
01,2022.1,DENISE MORAES CAVALCANTE (30h),3T2345,0,22,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0115,351
02,2022.1,PABLO GONCALO PIRES DE CAMPOS MARTINS (90h),7M12345  7T1,0,6,A definir,DAP0116,351
03,2022.1,MARIANA SOUTO DE MELO SILVA (90h),7M12345  7T1,0,4,A definir,DAP0116,351
06,2022.1,EMILIA SILVEIRA SILBERSTEIN (90h),7M345  7T123,0,5,A definir,DAP0116,351
07,2022.1,LUCIANO MENDES DE SOUZA (90h),236T23,0,4,A definir,DAP0116,351
08,2022.1,MAURICIO GOMES DA SILVA FONTELES (90h),7M12345  7T1,0,4,A definir,DAP0116,351
09,2022.1,CAMILA DUTERVIL MOLITERNO FRANCO (90h),246N12,0,4,A definir,DAP0116,351
10,2022.1,MAURO GIUNTINI VIANA (90h),6T45 7T2345,0,4,A definir,DAP0116,351
01,2022.1,SERGIO RIBEIRO DE AGUIAR SANTOS (60h),3T23 5T45,0,31,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0117,351
01,2022.1,SERGIO RIBEIRO DE AGUIAR SANTOS (60h),3T45 5T23,0,23,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0118,351
01,2022.1,MARCELO FEIJO ROCHA LIMA (60h),6M1234,0,25,"FAC - ICC Norte, Bloco A, Térreo - Estúdio B",DAP0120,351
01,2022.1,MARIA FERNANDA DANGELO VALENTIM (90h),4M12 2T2345,0,35,Local à definir.,DAP0123,351
01,2022.1,SUELEN BRANDES MARQUES VALENTE (60h),4M1234,0,32,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0124,351
01,2022.1,RAFAEL DIETZSCH (60h),35M34,0,26,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0125,351
01,2022.1,MARIA FERNANDA DANGELO VALENTIM (60h),2M1234,0,35,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0126,351
01,2022.1,BEATRIZ BERALDO BATISTA (20h),3456M1234,0,15,"FAC -ICC Norte, Bloco A,Mezanio  - Lab.Publicidade",DAP0128,351
01,2022.1,LUCIANO MENDES DE SOUZA (52h),3456M1234,0,15,"FAC -ICC Norte, Bloco A,Mezanio  - Lab.Publicidade",DAP0128,351
01,2022.1,LUCIANO MENDES DE SOUZA (168h),3456M1234,0,15,"FAC -ICC Norte, Bloco A,Mezanio  - Lab.Publicidade",DAP0128,351
02,2022.1,CARINA LUISA OCHI FLEXOR (96h),3456M1234,0,15,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
02,2022.1,CARINA LUISA OCHI FLEXOR (72h),3456M1234,0,15,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
02,2022.1,BEATRIZ BERALDO BATISTA (20h),3456M1234,0,15,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
02,2022.1,CARINA LUISA OCHI FLEXOR (52h),3456M1234,0,15,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
01,2022.1,CARINA LUISA OCHI FLEXOR (24h),5M1234,0,25,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",DAP0130,351
01,2022.1,PRISCILA MONTEIRO BORGES (36h),5M1234,0,25,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",DAP0130,351
02,2022.1,DIONE OLIVEIRA MOURA (24h),3M1234,0,25,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",DAP0130,351
02,2022.1,PRISCILA MONTEIRO BORGES (36h),3M1234,0,25,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",DAP0130,351
01,2022.1,NORLAN SOUZA DA SILVA (60h),6T2345,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0143,351
05,2022.1,RENATA ALVES DE ALBUQUERQUE OTHON (60h),4M1234,0,18,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",DAP0143,351
03,2022.1,PABLO GONCALO PIRES DE CAMPOS MARTINS (60h),2T2345,0,11,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0145,351
04,2022.1,SUSANA MADEIRA DOBAL JORDAN (60h),3T2345,0,5,"FAC -ICC Norte,Bloco A,Mezanio - Sala 13",DAP0145,351
01,2022.1,MAURO GIUNTINI VIANA (60h),4M1234,0,30,"FAC - ICC Norte, Bloco A, Térreo - Estúdio B",DAP0149,351
01,2022.1,CAMILA DUTERVIL MOLITERNO FRANCO (15h),3M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0154,351
01,2022.1,RAQUEL PACHECO MELLO CUNHA (15h),3M34,0,30,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0154,351
01,2022.1,MAURICIO GOMES DA SILVA FONTELES (60h),2M1234,0,30,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0158,351
01,2022.1,CARINA LUISA OCHI FLEXOR (90h),7M12345  7T1,0,5,A definir,DAP0159,351
02,2022.1,RAFAEL DIETZSCH (90h),7M1234  7T23,0,4,A definir,DAP0159,351
03,2022.1,MARIA FERNANDA DANGELO VALENTIM (90h),7M1234  7T23,0,6,Local à definir.,DAP0159,351
05,2022.1,SUELEN BRANDES MARQUES VALENTE (90h),7M12345  7T1,0,4,A definir,DAP0159,351
08,2022.1,LUCIANO MENDES DE SOUZA (90h),234M5  234T1,0,4,A definir,DAP0159,351
